Unnamed: 0,model,A,B,Nx,dx,Nt,dt,Du,Dv,initial_condition,random_seed,n_snapshots,filename,run_id,original_point,final_deviation,mean_deviation,std_deviation,max_derivative,mean_derivative,dominant_power,total_power,max_u,max_v,category,op,ic
139,bruss,0.5291668686824733,1.890997855891172,128,1.0,60000,0.0025,2.84910394951663,56.87474371135476,"{'type': 'normal', 'sigma_u': 0.1, 'sigma_v': 0.1}",125865,100,/cluster/scratch/vogtva/data/bruss/ball_big/0b992b52-f1ff-40d5-b5d0-f15223454f85_output.nc,ball_big,"{'A': 0.5, 'B': 2.0, 'Du': 3, 'Dv': 54}",0.8821041815943972,1.1785430026985484,0.7494936175009829,608.53,112.854294,0.19456552,2.3496006,2.045965,4.393998,SS,"{'A': 0.5, 'B': 2.0, 'Du': 3, 'Dv': 54}","{'type': 'normal', 'sigma_u': 0.1, 'sigma_v': 0.1}"
264,bruss,0.5159116127411414,1.8405620815893864,128,1.0,60000,0.0025,3.270549206937548,48.62240905391592,"{'type': 'normal', 'sigma_u': 0.1, 'sigma_v': 0.1}",291360,100,/cluster/scratch/vogtva/data/bruss/ball_big/f2824342-2254-43c1-bf3b-c39034253a0c_output.nc,ball_big,"{'A': 0.5, 'B': 2.0, 'Du': 3, 'Dv': 54}",0.6334350441475591,1.1143651112212232,0.7602070920704918,711.39685,94.86953,0.1969796,3.3468723,2.7594328,4.3392563,SS,"{'A': 0.5, 'B': 2.0, 'Du': 3, 'Dv': 54}","{'type': 'normal', 'sigma_u': 0.1, 'sigma_v': 0.1}"
517,bruss,0.5159116127411414,1.8405620815893864,128,1.0,60000,0.0025,3.270549206937548,48.62240905391592,"{'type': 'normal', 'sigma_u': 0.25, 'sigma_v': 0.25}",946032,100,/cluster/scratch/vogtva/data/bruss/ball_big/0b70ec55-39b1-4720-bdb7-54f440cc0420_output.nc,ball_big,"{'A': 0.5, 'B': 2.0, 'Du': 3, 'Dv': 54}",1.1487648217917898,1.2410280346390763,1.0065038146245562,713.6887,127.25388,0.20355198,3.358904,2.75309,4.339123,SS,"{'A': 0.5, 'B': 2.0, 'Du': 3, 'Dv': 54}","{'type': 'normal', 'sigma_u': 0.25, 'sigma_v': 0.25}"
748,bruss,0.5419345665428259,2.07493724843186,128,1.0,60000,0.0025,2.9126176770179413,50.36445758232173,"{'type': 'uniform', 'u_min': 0.0, 'u_max': 0.25, 'v_min': 0.0, 'v_max': 0.25}",680402,100,/cluster/scratch/vogtva/data/bruss/ball_big/644ddd7c-2f21-4f64-befc-a128ac6d17d4_output.nc,ball_big,"{'A': 0.5, 'B': 2.0, 'Du': 3, 'Dv': 54}",1.1672248434032912,1.450496599366679,1.1693487951312789,858.0114,155.0112,0.27482432,2.6488378,4.8494596,4.831221,SS,"{'A': 0.5, 'B': 2.0, 'Du': 3, 'Dv': 54}","{'type': 'uniform', 'u_min': 0.0, 'u_max': 0.25, 'v_min': 0.0, 'v_max': 0.25}"
809,bruss,0.5419345665428259,2.07493724843186,128,1.0,60000,0.0025,2.9126176770179413,50.36445758232173,"{'type': 'normal', 'sigma_u': 0.1, 'sigma_v': 0.1}",259785,100,/cluster/scratch/vogtva/data/bruss/ball_big/32af3ca6-8752-4efd-9d0f-9c7c418f807c_output.nc,ball_big,"{'A': 0.5, 'B': 2.0, 'Du': 3, 'Dv': 54}",0.6350209469767012,1.341977116511418,0.9369790962657876,704.10034,133.97383,0.21525116,2.123518,2.2979627,4.852743,SS,"{'A': 0.5, 'B': 2.0, 'Du': 3, 'Dv': 54}","{'type': 'normal', 'sigma_u': 0.1, 'sigma_v': 0.1}"
879,bruss,0.5303528561579999,2.010617645193698,128,1.0,60000,0.0025,3.116198976480533,57.89331018485035,"{'type': 'uniform', 'u_min': 0.0, 'u_max': 0.25, 'v_min': 0.0, 'v_max': 0.25}",865227,100,/cluster/scratch/vogtva/data/bruss/ball_big/ee6f0f09-705f-4cfa-9a9a-a2bcfdfe3cc4_output.nc,ball_big,"{'A': 0.5, 'B': 2.0, 'Du': 3, 'Dv': 54}",0.6072558882673817,1.3939197727180797,1.0969034552189367,867.11383,144.49959,0.2431184,4.06118,5.0347905,4.7529235,SS,"{'A': 0.5, 'B': 2.0, 'Du': 3, 'Dv': 54}","{'type': 'uniform', 'u_min': 0.0, 'u_max': 0.25, 'v_min': 0.0, 'v_max': 0.25}"
1041,bruss,0.5493350228449874,2.030748234732529,128,1.0,60000,0.0025,3.2477846226560096,58.27269887077163,"{'type': 'normal', 'sigma_u': 0.25, 'sigma_v': 0.25}",73576,100,/cluster/scratch/vogtva/data/bruss/ball_big/78d362b5-8251-4e01-9680-338ec2ee935c_output.nc,ball_big,"{'A': 0.5, 'B': 2.0, 'Du': 3, 'Dv': 54}",1.0603780279215975,1.2852691412028476,0.8793787304676982,835.4232,128.87155,0.20618811,3.923356,3.0423427,4.6671433,SS,"{'A': 0.5, 'B': 2.0, 'Du': 3, 'Dv': 54}","{'type': 'normal', 'sigma_u': 0.25, 'sigma_v': 0.25}"
1443,bruss,0.5225008917768015,1.9406617169492983,128,1.0,60000,0.0025,3.2590848835684656,54.850151536386825,"{'type': 'hex_pattern', 'amplitude': 0.25, 'wavelength': 0.1}",64787,100,/cluster/scratch/vogtva/data/bruss/ball_big/4f53ab68-1d14-4004-9015-aeb9d1091547_output.nc,ball_big,"{'A': 0.5, 'B': 2.0, 'Du': 3, 'Dv': 54}",0.4832573704465606,1.5485592834201791,1.4139001221196592,820.8667,170.43028,0.22322017,4.5129414,7.280233,4.5971947,SS,"{'A': 0.5, 'B': 2.0, 'Du': 3, 'Dv': 54}","{'type': 'hex_pattern', 'amplitude': 0.25, 'wavelength': 0.1}"
1702,bruss,0.5303528561579999,2.010617645193698,128,1.0,60000,0.0025,3.116198976480533,57.89331018485035,"{'type': 'hex_pattern', 'amplitude': 0.25, 'wavelength': 0.1}",721959,100,/cluster/scratch/vogtva/data/bruss/ball_big/aa597a38-4c33-47a0-9a4a-3afa01352995_output.nc,ball_big,"{'A': 0.5, 'B': 2.0, 'Du': 3, 'Dv': 54}",0.4250097511788091,1.5459732131506565,1.1811121247357803,879.5961,156.27945,0.25452387,4.6402497,7.0581098,4.752669,SS,"{'A': 0.5, 'B': 2.0, 'Du': 3, 'Dv': 54}","{'type': 'hex_pattern', 'amplitude': 0.25, 'wavelength': 0.1}"
1914,bruss,0.5291668686824733,1.890997855891172,128,1.0,60000,0.0025,2.84910394951663,56.87474371135476,"{'type': 'hex_pattern', 'amplitude': 0.25, 'wavelength': 0.1}",309022,100,/cluster/scratch/vogtva/data/bruss/ball_big/ddbed950-2764-4b29-b13b-6bdd28946898_output.nc,ball_big,"{'A': 0.5, 'B': 2.0, 'Du': 3, 'Dv': 54}",0.9206643369776256,1.3242394936465651,0.8805710190494033,670.9606,131.74857,0.21294436,2.4254622,7.499414,4.5226507,SS,"{'A': 0.5, 'B': 2.0, 'Du': 3, 'Dv': 54}","{'type': 'hex_pattern', 'amplitude': 0.25, 'wavelength': 0.1}"
